,0,1,2,3,4
520,[17674    43],11,12,20,2.1
521,[17686     1],0,0,1,2.1
522,[17695     1],0,0,1,2.1
523,[17718    43],15,18,10,2.1
524,[17723    46],6,4,36,2.1
525,[17725    43],8,14,21,2.1
526,[17727     1],0,0,1,2.1
527,[17729    42],6,7,29,2.1
528,[17737     1],0,0,1,2.1
529,[17742    42],1,6,35,2.1
530,[17743    42],2,8,32,2.1
531,[17744    42],4,5,33,2.1
532,[17751    42],3,5,34,2.1
533,[17752    42],1,9,32,2.1
534,[17753    42],5,4,33,2.1
535,[17760    42],0,6,36,2.1
536,[17761    42],4,7,31,2.1
537,[17765    44],10,5,29,2.1
538,[17771    46],7,18,21,2.1
539,[17773    42],8,5,29,2.1
540,[17774    42],4,10,28,2.1
541,[17775    42],21,11,10,2.1
542,[17777    42],25,6,11,2.1
543,[17779    42],14,17,11,2.1
544,[17783    42],4,4,34,2.1
545,[17785     4],0,0,4,2.1
546,[17791     1],0,0,1,2.1
547,[17795     2],2,0,0,2.1
548,[17811     3],0,2,1,2.1
549,[17829     3],1,0,2,2.1
550,[17840     2],0,2,0,2.1
551,[17842     2],0,0,2,2.1
552,[17843     2],0,1,1,2.1
553,[17854     6],1,0,5,2.1
554,[17880     3],0,0,3,2.1
555,[17882     3],0,1,2,2.1
556,[17895     2],0,0,2,2.1
557,[17896     2],0,0,2,2.1
558,[17898     2],0,0,2,2.1
559,[17900     2],0,1,1,2.3
560,[17901     2],0,1,1,2.3
561,[17908     2],0,0,2,2.3
562,[17927     1],0,1,0,2.3
563,[17954     4],1,0,3,2.1
564,[17987     2],0,0,2,2.1
565,[17993     2],0,0,2,2.1
566,[18007     2],0,0,2,2.1
567,[18008     1],0,0,1,2.1
568,[18010     4],1,0,3,2.1
569,[18011     1],0,0,1,2.1
570,[18013     2],0,0,2,2.1
571,[18017     2],0,0,2,2.1
572,[18020     2],0,0,2,2.1
573,[18031     3],1,0,2,2.1
574,[18046     2],0,0,2,2.1
575,[18052     2],0,0,2,2.1
576,[18056     1],0,0,1,2.1
577,[18060     4],1,0,3,2.1
578,[18063     1],0,0,1,2.1
579,[18068     1],0,0,1,2.1
580,[18080     3],0,1,2,2.1
581,[18081     3],1,0,2,2.1
582,[18086     2],0,0,2,2.1
583,[18089     2],1,0,1,2.1
584,[18090     1],0,0,1,2.1
585,[18092     2],0,0,2,2.1
586,[18093     1],0,0,1,2.1
587,[18101     3],1,0,2,2.1
588,[18102     1],0,0,1,2.1
589,[18106     4],1,0,3,2.1
590,[18112     2],0,0,2,2.1
591,[18115     5],1,0,4,2.1
592,[18116     4],0,2,2,2.1
593,[18117     1],0,0,1,2.1
594,[18118     1],0,0,1,2.1
595,[18123     2],0,1,1,2.1
596,[18130     3],1,0,2,2.1
597,[18131     4],1,2,1,2.3
598,[18141     1],0,0,1,2.3
599,[18142     2],0,0,2,2.3
600,[18150     2],0,2,0,2.3
601,[18151     3],0,2,1,2.1
602,[18152     4],1,1,2,2.1
603,[18156     1],0,0,1,2.1
604,[18157     1],0,0,1,2.1
605,[18165     1],0,0,1,2.1
606,[18169     2],0,0,2,2.1
607,[18178     1],0,0,1,2.1
608,[18179     1],0,1,0,2.1
609,[18181     3],0,1,2,2.1
610,[18182     2],0,0,2,2.1
611,[18188     1],0,0,1,2.1
612,[18189     1],0,0,1,2.1
613,[18190     1],0,0,1,2.1
614,[18192     1],0,1,0,2.1
615,[18197     1],0,0,1,2.1
616,[18202     2],0,0,2,2.1
617,[18204     2],0,0,2,2.1
618,[18206     4],3,1,0,2.1
619,[18208     1],0,0,1,2.1
620,[18215     2],0,0,2,2.1
621,[18217     1],0,0,1,2.1
622,[18218     1],0,0,1,2.1
623,[18223     1],1,0,0,2.1
624,[18232     1],0,0,1,2.1
625,[18236     1],0,0,1,2.1
626,[18237     1],0,0,1,2.1
627,[18238     1],0,0,1,2.1
628,[18240     6],2,3,1,2.1
629,[18241     1],0,0,1,2.1
630,[18244     1],0,0,1,2.1
631,[18247     2],1,0,1,2.1
632,[18251     3],1,0,2,2.1
633,[18255     1],0,0,1,2.1
634,[18261     1],0,0,1,2.1
635,[18264     1],0,0,1,2.2
636,[18266     1],0,0,1,2.2
637,[18271     1],0,0,1,2.2
638,[18273     2],0,1,1,2.2
639,[18274     2],0,1,1,2.2
640,[18280     1],0,0,1,2.2
641,[18283     1],0,0,1,2.2
642,[18284     1],0,0,1,2.2
643,[18285     1],0,0,1,2.2
644,[18291     1],0,0,1,2.2
645,[18294     1],0,0,1,2.3
646,[18302     4],0,3,1,2.3
647,[18304     1],0,0,1,2.2
648,[18309     6],1,4,1,2.2
649,[18310     3],2,1,0,2.2
650,[18311     3],2,1,0,2.2
651,[18317     2],1,0,1,2.2
652,[18325     2],0,0,2,2.2
653,[18327     3],2,1,0,2.2
654,[18328     2],0,0,2,2.2
655,[18329     1],0,0,1,2.2
656,[18330     2],0,0,2,2.2
657,[18331     1],0,0,1,2.1
658,[18341     4],0,2,2,2.1
659,[18355     1],0,0,1,2.1
660,[18389     3],1,0,2,2.1
661,[18390     2],1,0,1,2.1
662,[18392     3],1,0,2,2.1
663,[18393     3],0,1,2,2.1
664,[18425     2],0,0,2,2.1
665,[18426     2],0,0,2,2.1
666,[18427     2],0,0,2,2.1
667,[21031     1],0,1,0,2.1
668,[21032     1],1,0,0,2.1
